GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ADQ001,ADZ001,AD9001,AE6001,AE6002,AE6003
"G0501270","1850","Arkansas","050","Scott","1270","Scott","42","1270",3083,0,0,2921,16,146
"G0501290","1850","Arkansas","050","Searcy","1290","Searcy","42","1290",1979,0,0,1950,0,29
"G0501330","1850","Arkansas","050","Sevier","1330","Sevier","42","1330",4240,0,0,2837,31,1372
"G0501390","1850","Arkansas","050","Union","1390","Union","42","1390",10298,0,0,5526,5,4767
"G0501410","1850","Arkansas","050","Van Buren","1410","Van Buren","42","1410",2864,0,0,2761,0,103
"G0501430","1850","Arkansas","050","Washington","1430","Washington","42","1430",9970,0,0,8757,14,1199
"G0501450","1850","Arkansas","050","White","1450","White","42","1450",2619,0,0,2309,2,308
"G0501490","1850","Arkansas","050","Yell","1490","Yell","42","1490",3341,0,0,2902,15,424
"G0600070","1850","California","060","Butte","0070","Butte","71","70",3574,0,0,3541,33,0
"G0600090","1850","California","060","Calaveras","0090","Calaveras","71","90",16884,0,0,16802,82,0
"G0600110","1850","California","060","Colusa","0110","Colusa","71","110",115,0,0,115,0,0
"G0600115","1850","California","060","Colusa-Shasta-Trinity [multi-county reporting area]","0115","Colusa-Shasta-Trinity (multi-county reporting area)","71","115",,,,,,
"G0600130","1850","California","060","Contra Costa","0130","Contra Costa","71","130",,,,,,
"G0600170","1850","California","060","El Dorado","0170","El Dorado","71","170",20057,0,0,19908,149,0
"G0600370","1850","California","060","Los Angeles","0370","Los Angeles","71","370",3530,0,0,3518,12,0
"G0600410","1850","California","060","Marin","0410","Marin","71","410",323,0,0,321,2,0
"G0600430","1850","California","060","Mariposa","0430","Mariposa","71","430",4379,0,0,4184,195,0
"G0600450","1850","California","060","Mendocino","0450","Mendocino","71","450",55,0,0,55,0,0
"G0600530","1850","California","060","Monterey","0530","Monterey","71","530",1872,0,0,1854,18,0
"G0600550","1850","California","060","Napa","0550","Napa","71","550",405,0,0,405,0,0
"G0600670","1850","California","060","Sacramento","0670","Sacramento","71","670",9087,6820,0,8875,212,0
"G0600730","1850","California","060","San Diego","0730","San Diego","71","730",798,0,0,790,8,0
"G0600750","1850","California","060","San Francisco","0750","San Francisco","71","750",,,,,,
"G0600770","1850","California","060","San Joaquin","0770","San Joaquin","71","770",3647,0,0,3616,31,0
"G0600790","1850","California","060","San Luis Obispo","0790","San Luis Obispo","71","790",336,0,0,335,1,0
"G0600830","1850","California","060","Santa Barbara","0830","Santa Barbara","71","830",1185,0,0,1181,4,0
"G0600850","1850","California","060","Santa Clara","0850","Santa Clara","71","850",,,,,,
"G0600870","1850","California","060","Santa Cruz","0870","Santa Cruz","71","870",643,0,0,643,0,0
"G0600890","1850","California","060","Shasta","0890","Shasta","71","890",378,0,0,378,0,0
"G0600950","1850","California","060","Solano","0950","Solano","71","950",580,0,0,543,37,0
"G0600970","1850","California","060","Sonoma","0970","Sonoma","71","970",560,0,0,559,1,0
"G0601010","1850","California","060","Sutter","1010","Sutter","71","1010",3444,0,0,3424,20,0
"G0601050","1850","California","060","Trinity","1050","Trinity","71","1050",1635,0,0,1617,18,0
"G0601090","1850","California","060","Tuolumne","1090","Tuolumne","71","1090",8351,0,0,8288,63,0
"G0601130","1850","California","060","Yolo","1130","Yolo","71","1130",1086,0,0,1076,10,0
"G0601150","1850","California","060","Yuba","1150","Yuba","71","1150",9673,0,0,9607,66,0
