GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AA1001,AA3001,AA4001,AA7001,AA7002
"G3700910","1810","North Carolina","370","Hertford","0910","Hertford","47","910",6052,6052,0,304,2805
"G3700950","1810","North Carolina","370","Hyde","0950","Hyde","47","950",6029,6029,0,90,1852
"G3700970","1810","North Carolina","370","Iredell","0970","Iredell","47","970",10972,10972,0,5,2432
"G3701010","1810","North Carolina","370","Johnston","1010","Johnston","47","1010",6867,6867,0,28,2330
"G3701030","1810","North Carolina","370","Jones","1030","Jones","47","1030",4968,4968,0,91,2375
"G3701070","1810","North Carolina","370","Lenoir","1070","Lenoir","47","1070",5572,5572,0,113,2440
"G3701090","1810","North Carolina","370","Lincoln","1090","Lincoln","47","1090",16359,16359,0,8,2489
"G3701170","1810","North Carolina","370","Martin","1170","Martin","47","1170",5987,5987,0,115,2357
"G3701190","1810","North Carolina","370","Mecklenburg","1190","Mecklenburg","47","1190",14272,14272,0,34,3494
"G3701230","1810","North Carolina","370","Montgomery","1230","Montgomery","47","1230",8430,8430,0,34,1696
"G3701250","1810","North Carolina","370","Moore","1250","Moore","47","1250",6367,6367,0,56,944
"G3701270","1810","North Carolina","370","Nash","1270","Nash","47","1270",7268,7268,0,127,2897
"G3701290","1810","North Carolina","370","New Hanover","1290","New Hanover","47","1290",11465,11465,0,132,6442
"G3701310","1810","North Carolina","370","Northampton","1310","Northampton","47","1310",13082,13082,0,580,7258
"G3701330","1810","North Carolina","370","Onslow","1330","Onslow","47","1330",6669,6669,0,41,2299
"G3701350","1810","North Carolina","370","Orange","1350","Orange","47","1350",20135,20135,0,332,4701
"G3701390","1810","North Carolina","370","Pasquotank","1390","Pasquotank","47","1390",7674,7674,0,550,2295
"G3701430","1810","North Carolina","370","Perquimans","1430","Perquimans","47","1430",6052,6052,0,119,2017
"G3701450","1810","North Carolina","370","Person","1450","Person","47","1450",6642,6642,0,82,2573
"G3701470","1810","North Carolina","370","Pitt","1470","Pitt","47","1470",9169,9169,0,0,3589
"G3701510","1810","North Carolina","370","Randolph","1510","Randolph","47","1510",10112,10112,0,205,798
"G3701530","1810","North Carolina","370","Richmond","1530","Richmond","47","1530",6695,6695,0,22,1301
"G3701550","1810","North Carolina","370","Robeson","1550","Robeson","47","1550",7528,7528,0,417,1340
"G3701570","1810","North Carolina","370","Rockingham","1570","Rockingham","47","1570",10316,10316,0,43,2114
