GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ABA001,ABE001,ABB001,ABB002,ABB003,ABB004,ABB005,ABB006
"G1801190","1820","Indiana","180","Owen","1190","Owen","22","1190",838,0,457,370,1,0,7,3
"G1801230","1820","Indiana","180","Perry","1230","Perry","22","1230",2330,0,1221,1093,0,1,4,11
"G1801250","1820","Indiana","180","Pike","1250","Pike","22","1250",1472,0,784,681,2,1,2,2
"G1801290","1820","Indiana","180","Posey","1290","Posey","22","1290",4061,0,2095,1949,8,3,4,2
"G1801350","1820","Indiana","180","Randolph","1350","Randolph","22","1350",1808,0,948,855,0,0,3,2
"G1801370","1820","Indiana","180","Ripley","1370","Ripley","22","1370",1822,0,927,893,0,0,2,0
"G1801430","1820","Indiana","180","Scott","1430","Scott","22","1430",2334,0,1235,1093,2,4,0,0
"G1801470","1820","Indiana","180","Spencer","1470","Spencer","22","1470",1882,0,980,897,0,3,2,0
"G1801530","1820","Indiana","180","Sullivan","1530","Sullivan","22","1530",3498,0,1852,1618,4,4,10,10
"G1801550","1820","Indiana","180","Switzerland","1550","Switzerland","22","1550",3934,0,2070,1855,0,0,5,4
"G1801630","1820","Indiana","180","Vanderburgh","1630","Vanderburgh","22","1630",1798,0,948,839,4,4,2,1
"G1801670","1820","Indiana","180","Vigo","1670","Vigo","22","1670",3390,0,1907,1457,0,0,12,14
"G1801675","1820","Indiana","180","Wabash New Purchase *","1675","Wabash New Purchase *","22","1690",147,0,70,72,0,0,2,3
"G1801730","1820","Indiana","180","Warrick","1730","Warrick","22","1730",1749,0,922,820,0,1,6,0
"G1801750","1820","Indiana","180","Washington","1750","Washington","22","1750",9039,0,4626,4354,0,0,33,26
"G1801770","1820","Indiana","180","Wayne","1770","Wayne","22","1770",12119,0,6250,5803,0,0,43,23
"G2100010","1820","Kentucky","210","Adair","0010","Adair","51","10",8765,0,3681,3568,747,762,4,3
"G2100030","1820","Kentucky","210","Allen","0030","Allen","51","30",5327,0,2248,2346,338,385,5,5
"G2100090","1820","Kentucky","210","Barren","0090","Barren","51","90",10328,0,4021,3854,1213,1233,3,4
"G2100110","1820","Kentucky","210","Bath","0110","Bath","51","110",7961,0,3443,3242,635,589,28,24
"G2100150","1820","Kentucky","210","Boone","0150","Boone","51","150",6542,0,2755,2472,652,644,8,11
"G2100170","1820","Kentucky","210","Bourbon","0170","Bourbon","51","170",17664,0,6109,6260,2595,2570,66,64
"G2100230","1820","Kentucky","210","Bracken","0230","Bracken","51","230",5280,0,2294,2266,363,313,23,21
"G2100270","1820","Kentucky","210","Breckinridge","0270","Breckinridge","51","270",7485,0,3233,2984,624,643,0,1
"G2100290","1820","Kentucky","210","Bullitt","0290","Bullitt","51","290",5831,0,2340,2238,679,566,5,3
"G2100310","1820","Kentucky","210","Butler","0310","Butler","51","310",3083,0,1336,1275,237,235,0,0
"G2100330","1820","Kentucky","210","Caldwell","0330","Caldwell","51","330",9022,0,3906,3661,709,735,10,1
"G2100370","1820","Kentucky","210","Campbell","0370","Campbell","51","370",7022,0,3132,2983,482,415,6,4
"G2100450","1820","Kentucky","210","Casey","0450","Casey","51","450",4349,0,1901,1975,224,232,13,4
"G2100470","1820","Kentucky","210","Christian","0470","Christian","51","470",10459,0,3553,3390,1731,1760,13,12
"G2100490","1820","Kentucky","210","Clark","0490","Clark","51","490",11449,0,4098,3847,1735,1728,20,21
"G2100510","1820","Kentucky","210","Clay","0510","Clay","51","510",4393,0,2112,1906,180,105,40,50
"G2100570","1820","Kentucky","210","Cumberland","0570","Cumberland","51","570",8058,0,3433,3279,659,673,6,8
"G2100590","1820","Kentucky","210","Daviess","0590","Daviess","51","590",3876,0,1538,1479,436,416,5,2
"G2100650","1820","Kentucky","210","Estill","0650","Estill","51","650",3507,0,1660,1558,158,123,6,2
"G2100670","1820","Kentucky","210","Fayette","0670","Fayette","51","670",23250,5279,6939,6789,4681,4593,109,139
"G2100690","1820","Kentucky","210","Fleming","0690","Fleming","51","690",12186,0,5574,5437,556,588,15,16
"G2100710","1820","Kentucky","210","Floyd","0710","Floyd","51","710",8207,0,4164,3703,81,116,92,51
"G2100730","1820","Kentucky","210","Franklin","0730","Franklin","51","730",11024,0,3818,3443,1809,1741,70,69
"G2100770","1820","Kentucky","210","Gallatin","0770","Gallatin","51","770",7075,0,3023,2794,601,641,10,6
"G2100790","1820","Kentucky","210","Garrard","0790","Garrard","51","790",10851,0,3953,3948,1430,1488,18,14
"G2100810","1820","Kentucky","210","Grant","0810","Grant","51","810",1805,0,853,813,69,68,2,0
"G2100850","1820","Kentucky","210","Grayson","0850","Grayson","51","850",4055,0,1927,1909,96,88,19,16
"G2100870","1820","Kentucky","210","Green","0870","Green","51","870",11943,0,4662,4021,1533,1708,9,10
"G2100890","1820","Kentucky","210","Greenup","0890","Greenup","51","890",4311,0,1959,1771,334,232,10,5
"G2100930","1820","Kentucky","210","Hardin","0930","Hardin","51","930",10498,0,4539,4470,767,699,19,4
"G2100950","1820","Kentucky","210","Harlan","0950","Harlan","51","950",1961,0,953,898,58,50,1,1
"G2100970","1820","Kentucky","210","Harrison","0970","Harrison","51","970",12278,0,5011,5040,1019,1118,43,47
"G2100990","1820","Kentucky","210","Hart","0990","Hart","51","990",4184,0,1825,1747,293,303,7,9
"G2101010","1820","Kentucky","210","Henderson","1010","Henderson","51","1010",5714,0,1821,1598,1106,1159,18,12
"G2101030","1820","Kentucky","210","Henry","1030","Henry","51","1030",10816,0,4452,4356,1018,986,2,2
"G2101070","1820","Kentucky","210","Hopkins","1070","Hopkins","51","1070",5322,0,2220,2114,463,519,1,5
"G2101110","1820","Kentucky","210","Jefferson","1110","Jefferson","51","1110",20768,4012,7510,6155,3630,3256,123,92
"G2101130","1820","Kentucky","210","Jessamine","1130","Jessamine","51","1130",9297,0,3353,3042,1426,1376,63,37
"G2101210","1820","Kentucky","210","Knox","1210","Knox","51","1210",3661,0,1688,1617,163,174,9,10
"G2101350","1820","Kentucky","210","Lewis","1350","Lewis","51","1350",3973,0,1809,1696,246,218,3,1
"G2101370","1820","Kentucky","210","Lincoln","1370","Lincoln","51","1370",9979,0,3512,3350,1515,1538,18,40
"G2101390","1820","Kentucky","210","Livingston","1390","Livingston","51","1390",5824,0,2478,2292,508,512,15,19
"G2101410","1820","Kentucky","210","Logan","1410","Logan","51","1410",14423,0,5047,4543,2431,2267,69,66
"G2101510","1820","Kentucky","210","Madison","1510","Madison","51","1510",15954,0,6018,5720,2093,2061,35,27
"G2101610","1820","Kentucky","210","Mason","1610","Mason","51","1610",13588,0,5328,4832,1803,1563,33,29
"G2101670","1820","Kentucky","210","Mercer","1670","Mercer","51","1670",15587,0,5981,5549,1968,1857,66,66
"G2101710","1820","Kentucky","210","Monroe","1710","Monroe","51","1710",4956,0,2263,2190,264,234,4,1
"G2101730","1820","Kentucky","210","Montgomery","1730","Montgomery","51","1730",9587,0,3781,3723,1040,1014,19,10
"G2101770","1820","Kentucky","210","Muhlenberg","1770","Muhlenberg","51","1770",4979,0,2225,2077,295,380,2,0
"G2101790","1820","Kentucky","210","Nelson","1790","Nelson","51","1790",16273,0,6672,5668,1849,2026,39,19
"G2101810","1820","Kentucky","210","Nicholas","1810","Nicholas","51","1810",7973,0,3492,3529,457,462,21,12
"G2101830","1820","Kentucky","210","Ohio","1830","Ohio","51","1830",3879,0,1789,1603,246,222,11,8
"G2101870","1820","Kentucky","210","Owen","1870","Owen","51","1870",2031,0,944,879,96,111,1,0
"G2101910","1820","Kentucky","210","Pendleton","1910","Pendleton","51","1910",3086,0,1417,1341,163,165,0,0
"G2101990","1820","Kentucky","210","Pulaski","1990","Pulaski","51","1990",7597,0,3603,3348,301,336,6,3
"G2102030","1820","Kentucky","210","Rockcastle","2030","Rockcastle","51","2030",2249,0,1039,1049,66,89,6,0
