GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AAS001,AAU001,AAV001,AAY001,AAY002
"G1301570","1800","Georgia","130","Jackson","1570","Jackson","44","1510",7736,7736,0,8,1400
"G1301630","1800","Georgia","130","Jefferson","1630","Jefferson","44","1630",5684,5684,0,34,1642
"G1301790","1800","Georgia","130","Liberty","1790","Liberty","44","1790",5313,5313,0,27,3940
"G1301810","1800","Georgia","130","Lincoln","1810","Lincoln","44","1810",4766,4766,0,7,1433
"G1301910","1800","Georgia","130","McIntosh","1910","Mcintosh","44","1910",2660,2660,0,10,1819
"G1302090","1800","Georgia","130","Montgomery","2090","Montgomery","44","2090",3180,3180,0,3,435
"G1302210","1800","Georgia","130","Oglethorpe","2210","Oglethorpe","44","2210",9780,9780,0,5,3089
"G1302450","1800","Georgia","130","Richmond","2450","Richmond","44","2450",5475,5475,0,54,2691
"G1302510","1800","Georgia","130","Screven","2510","Screven","44","2510",3019,3019,0,0,766
"G1303010","1800","Georgia","130","Warren","3010","Warren","44","3010",8329,8329,0,19,2058
"G1303030","1800","Georgia","130","Washington","3030","Washington","44","3030",10300,10300,0,451,2668
"G1303170","1800","Georgia","130","Wilkes","3170","Wilkes","44","3170",13103,13103,0,63,5008
"G1850115","1800","Indiana Territory","185","Knox","0115","Knox","22","830",2517,2517,0,87,28
"G1850135","1800","Indiana Territory","185","Randolph","0135","Randolph","22","8090",1103,1103,0,34,107
"G1850155","1800","Indiana Territory","185","St Clair","0155","St Clair","22","8110",1255,1255,0,42,0
"G1850315","1800","Indiana Territory","185","Unorganized","0315","Unorganized","22","8070",766,766,0,,
"G2100090","1800","Kentucky","210","Barren","0090","Barren","51","90",4784,4784,0,0,505
"G2100150","1800","Kentucky","210","Boone","0150","Boone","51","150",1534,1534,0,15,325
"G2100170","1800","Kentucky","210","Bourbon","0170","Bourbon","51","170",12825,12825,0,62,2136
"G2100230","1800","Kentucky","210","Bracken","0230","Bracken","51","230",2606,2606,0,14,243
"G2100270","1800","Kentucky","210","Breckinridge","0270","Breckinridge","51","270",807,807,0,1,41
"G2100290","1800","Kentucky","210","Bullitt","0290","Bullitt","51","290",3542,3542,0,9,969
"G2100370","1800","Kentucky","210","Campbell","0370","Campbell","51","370",1903,1903,0,14,279
"G2100470","1800","Kentucky","210","Christian","0470","Christian","51","470",2318,2318,0,0,297
"G2100490","1800","Kentucky","210","Clark","0490","Clark","51","490",7653,7653,0,17,1561
"G2100570","1800","Kentucky","210","Cumberland","0570","Cumberland","51","570",3284,3284,0,36,236
"G2100670","1800","Kentucky","210","Fayette","0670","Fayette","51","670",14028,14028,0,88,4225
"G2100690","1800","Kentucky","210","Fleming","0690","Fleming","51","690",5016,5016,0,10,254
"G2100710","1800","Kentucky","210","Floyd","0710","Floyd","51","710",478,478,0,0,31
"G2100730","1800","Kentucky","210","Franklin","0730","Franklin","51","730",5078,5078,0,22,1369
"G2100770","1800","Kentucky","210","Gallatin","0770","Gallatin","51","770",1291,1291,0,2,329
"G2100790","1800","Kentucky","210","Garrard","0790","Garrard","51","790",6186,6186,0,6,1259
"G2100870","1800","Kentucky","210","Green","0870","Green","51","870",6096,6096,0,3,836
"G2100930","1800","Kentucky","210","Hardin","0930","Hardin","51","930",3653,3653,0,11,325
"G2100970","1800","Kentucky","210","Harrison","0970","Harrison","51","970",4350,4350,0,19,406
"G2101010","1800","Kentucky","210","Henderson","1010","Henderson","51","1010",1468,1468,0,2,390
"G2101030","1800","Kentucky","210","Henry","1030","Henry","51","1030",3258,3258,0,4,406
"G2101110","1800","Kentucky","210","Jefferson","1110","Jefferson","51","1110",8754,8754,0,23,2406
"G2101130","1800","Kentucky","210","Jessamine","1130","Jessamine","51","1130",5461,5461,0,21,1561
"G2101210","1800","Kentucky","210","Knox","1210","Knox","51","1210",1109,1109,0,3,62
"G2101370","1800","Kentucky","210","Lincoln","1370","Lincoln","51","1370",8621,8621,0,23,1776
"G2101390","1800","Kentucky","210","Livingston","1390","Livingston","51","1390",2856,2856,0,4,456
"G2101410","1800","Kentucky","210","Logan","1410","Logan","51","1410",5807,5807,0,93,775
"G2101510","1800","Kentucky","210","Madison","1510","Madison","51","1510",10490,10490,0,3,1726
"G2101610","1800","Kentucky","210","Mason","1610","Mason","51","1610",12182,12182,0,88,1747
"G2101670","1800","Kentucky","210","Mercer","1670","Mercer","51","1670",9646,9646,0,33,2316
"G2101730","1800","Kentucky","210","Montgomery","1730","Montgomery","51","1730",7082,7082,0,11,767
"G2101770","1800","Kentucky","210","Muhlenberg","1770","Muhlenberg","51","1770",1443,1443,0,5,125
"G2101790","1800","Kentucky","210","Nelson","1790","Nelson","51","1790",9866,9866,0,16,1902
"G2101810","1800","Kentucky","210","Nicholas","1810","Nicholas","51","1810",2925,2925,0,6,322
"G2101830","1800","Kentucky","210","Ohio","1830","Ohio","51","1830",1223,1223,0,3,151
"G2101910","1800","Kentucky","210","Pendleton","1910","Pendleton","51","1910",1613,1613,0,2,240
"G2101990","1800","Kentucky","210","Pulaski","1990","Pulaski","51","1990",3161,3161,0,1,232
"G2102090","1800","Kentucky","210","Scott","2090","Scott","51","2090",8007,8007,0,12,1910
"G2102110","1800","Kentucky","210","Shelby","2110","Shelby","51","2110",8191,8191,0,23,1487
"G2102270","1800","Kentucky","210","Warren","2270","Warren","51","2270",4686,4686,0,4,431
"G2102290","1800","Kentucky","210","Washington","2290","Washington","51","2290",9050,9050,0,17,1422
"G2102390","1800","Kentucky","210","Woodford","2390","Woodford","51","2390",6624,6624,0,15,2107
"G2400010","1800","Maryland","240","Allegany","0010","Allegany","52","10",6303,6303,0,101,499
"G2400030","1800","Maryland","240","Anne Arundel","0030","Anne Arundel","52","30",22623,22623,0,1833,9760
"G2400050","1800","Maryland","240","Baltimore","0050","Baltimore","52","50",32516,32516,0,1536,6830
"G2400090","1800","Maryland","240","Calvert","0090","Calvert","52","70",8297,8297,0,307,4101
"G2400110","1800","Maryland","240","Caroline","0110","Caroline","52","90",9226,9226,0,602,1865
"G2400150","1800","Maryland","240","Cecil","0150","Cecil","52","130",9018,9018,0,373,2103
"G2400170","1800","Maryland","240","Charles","0170","Charles","52","150",19172,19172,0,571,9558
"G2400190","1800","Maryland","240","Dorchester","0190","Dorchester","52","170",16346,16346,0,2365,4566
"G2400210","1800","Maryland","240","Frederick","0210","Frederick","52","190",31523,31523,0,473,4572
"G2400250","1800","Maryland","240","Harford","0250","Harford","52","230",17626,17626,0,1344,4264
"G2400290","1800","Maryland","240","Kent","0290","Kent","52","270",11771,11771,0,1786,4474
"G2400310","1800","Maryland","240","Montgomery","0310","Montgomery","52","290",15058,15058,0,262,6288
"G2400330","1800","Maryland","240","Prince Georges","0330","Prince Georges","52","310",21185,21185,0,648,12191
"G2400350","1800","Maryland","240","Queen Anne's","0350","Queen Anne's","52","330",14857,14857,0,1025,6517
"G2400370","1800","Maryland","240","St Mary's","0370","St Mary's","52","370",13699,13699,0,622,6399
"G2400390","1800","Maryland","240","Somerset","0390","Somerset","52","350",17358,17358,0,586,7432
"G2400410","1800","Maryland","240","Talbot","0410","Talbot","52","390",13436,13436,0,1591,4775
"G2400430","1800","Maryland","240","Washington","0430","Washington","52","410",18650,18650,0,342,2200
"G2400470","1800","Maryland","240","Worcester","0470","Worcester","52","450",16370,16370,0,449,4398
"G2405100","1800","Maryland","240","Baltimore City","5100","Baltimore City","52","5100",26514,26514,26514,2771,2843
"G2500010","1800","Massachusetts","250","Barnstable","0010","Barnstable","3","10",19293,19293,0,263,0
"G2500030","1800","Massachusetts","250","Berkshire","0030","Berkshire","3","30",33885,33885,0,494,0
"G2500050","1800","Massachusetts","250","Bristol","0050","Bristol","3","50",33880,33880,4361,808,0
"G2500055","1800","Massachusetts","250","Cumberland","0055","Cumberland","2","50",38208,38208,3704,290,0
"G2500070","1800","Massachusetts","250","Dukes","0070","Dukes","3","70",3118,3118,0,202,0
"G2500090","1800","Massachusetts","250","Essex","0090","Essex","3","90",61196,61196,25927,911,0
"G2500150","1800","Massachusetts","250","Hampshire","0150","Hampshire","3","150",72432,72432,0,565,0
"G2500153","1800","Massachusetts","250","Hancock","0153","Hancock","2","90",16358,16358,0,42,0
"G2500155","1800","Massachusetts","250","Kennebec","0155","Kennebec","2","110",24571,24571,0,169,0
"G2500157","1800","Massachusetts","250","Lincoln","0157","Lincoln","2","150",30225,30225,0,125,0
"G2500170","1800","Massachusetts","250","Middlesex","0170","Middlesex","3","170",46928,46928,0,470,0
"G2500190","1800","Massachusetts","250","Nantucket","0190","Nantucket","3","190",5617,5617,5617,228,0
"G2500210","1800","Massachusetts","250","Norfolk","0210","Norfolk","3","210",27216,27216,0,326,0
"G2500230","1800","Massachusetts","250","Plymouth","0230","Plymouth","3","230",30073,30073,4458,457,0
"G2500250","1800","Massachusetts","250","Suffolk","0250","Suffolk","3","250",28015,28015,24937,1238,0
"G2500255","1800","Massachusetts","250","Washington","0255","Washington","2","290",4461,4461,0,25,0
"G2500270","1800","Massachusetts","250","Worcester","0270","Worcester","3","270",61192,61192,0,490,0
"G2500275","1800","Massachusetts","250","York","0275","York","2","310",37896,37896,0,167,0
"G2509993","1800","Massachusetts","250","Massachusetts (ME part) [multi-county reporting area ]","9993","Massachusetts [ME part] - multi-county group","2","0",151719,151719,3704,818,0
"G2509997","1800","Massachusetts","250","Massachusetts (non-ME part) [multi-county reporting area]","9997","Massachusetts [non-ME part] - multi-county group","3","0",422845,422845,65300,6452,0
"G2850015","1800","Mississippi Territory","285","Adams","0015","Adams","46","10",4660,4660,0,155,2257
"G2850155","1800","Mississippi Territory","285","Pickering","0155","Pickering","46","630",2940,2940,0,4,738
"G2850195","1800","Mississippi Territory","285","Washington","0195","Washington","46","1510",1250,1250,0,23,494
"G3300050","1800","New Hampshire","330","Cheshire","0050","Cheshire","4","50",38825,38825,0,112,0
"G3300090","1800","New Hampshire","330","Grafton","0090","Grafton","4","90",23093,23093,0,62,8
"G3300110","1800","New Hampshire","330","Hillsborough","0110","Hillsborough","4","110",43899,43899,0,205,0
"G3300150","1800","New Hampshire","330","Rockingham","0150","Rockingham","4","150",45427,45427,5339,360,0
"G3300170","1800","New Hampshire","330","Strafford","0170","Strafford","4","170",32614,32614,0,113,0
"G3400030","1800","New Jersey","340","Bergen","0030","Bergen","12","30",15156,15156,0,202,2825
"G3400050","1800","New Jersey","340","Burlington","0050","Burlington","12","50",21521,21521,0,770,188
"G3400090","1800","New Jersey","340","Cape May","0090","Cape May","12","90",3066,3066,0,80,98
"G3400110","1800","New Jersey","340","Cumberland","0110","Cumberland","12","110",9529,9529,0,271,75
"G3400130","1800","New Jersey","340","Essex","0130","Essex","12","130",22269,22269,0,198,1521
"G3400150","1800","New Jersey","340","Gloucester","0150","Gloucester","12","150",16115,16115,0,646,61
"G3400190","1800","New Jersey","340","Hunterdon","0190","Hunterdon","12","190",21261,21261,0,520,1220
"G3400230","1800","New Jersey","340","Middlesex","0230","Middlesex","12","230",17890,17890,0,263,1564
"G3400250","1800","New Jersey","340","Monmouth","0250","Monmouth","12","250",19872,19872,0,468,1633
"G3400270","1800","New Jersey","340","Morris","0270","Morris","12","270",17750,17750,0,100,775
"G3400330","1800","New Jersey","340","Salem","0330","Salem","12","330",11371,11371,0,607,85
"G3400350","1800","New Jersey","340","Somerset","0350","Somerset","12","350",12815,12815,0,175,1863
"G3400370","1800","New Jersey","340","Sussex","0370","Sussex","12","370",22534,22534,0,102,514
"G3600010","1800","New York","360","Albany","0010","Albany","13","10",34043,34103,10578,353,1808
"G3600110","1800","New York","360","Cayuga","0110","Cayuga","13","110",15871,15907,0,19,53
"G3600170","1800","New York","360","Chenango","0170","Chenango","13","170",15666,16087,0,40,16
"G3600190","1800","New York","360","Clinton","0190","Clinton","13","8010",8514,8516,0,62,58
"G3600210","1800","New York","360","Columbia","0210","Columbia","13","210",35422,35472,3664,490,1471
"G3600250","1800","New York","360","Delaware","0250","Delaware","13","250",10228,10228,0,30,16
"G3600270","1800","New York","360","Dutchess","0270","Dutchess","13","270",47775,47775,0,931,1609
"G3600390","1800","New York","360","Greene","0390","Greene","13","390",12314,13074,0,59,250
"G3600430","1800","New York","360","Herkimer","0430","Herkimer","13","430",14479,14503,0,8,61
"G3600470","1800","New York","360","Kings","0470","Kings","13","470",5740,5740,0,332,1479
"G3600570","1800","New York","360","Montgomery","0570","Montgomery","13","570",21700,22051,0,8,466
"G3600610","1800","New York","360","New York","0610","New York","13","610",60489,60515,60515,3499,2868
"G3600650","1800","New York","360","Oneida","0650","Oneida","13","650",22047,22258,0,73,50
"G3600670","1800","New York","360","Onondaga","0670","Onondaga","13","670",7466,7698,0,18,11
"G3600690","1800","New York","360","Ontario","0690","Ontario","13","690",15218,15218,0,109,57
"G3600710","1800","New York","360","Orange","0710","Orange","13","710",29355,29355,0,534,1145
"G3600770","1800","New York","360","Otsego","0770","Otsego","13","770",21636,21343,0,44,48
"G3600810","1800","New York","360","Queens","0810","Queens","13","810",16891,16916,0,1431,1528
"G3600830","1800","New York","360","Rensselaer","0830","Rensselaer","13","830",30442,30351,0,113,890
"G3600850","1800","New York","360","Richmond","0850","Richmond","13","850",4563,4564,0,83,675
"G3600870","1800","New York","360","Rockland","0870","Rockland","13","870",6353,6353,0,68,551
"G3600910","1800","New York","360","Saratoga","0910","Saratoga","13","910",24483,24564,0,73,358
"G3600950","1800","New York","360","Schoharie","0950","Schoharie","13","950",9808,9808,0,11,354
"G3601010","1800","New York","360","Steuben","1010","Steuben","13","1010",1788,1788,0,0,22
"G3601030","1800","New York","360","Suffolk","1030","Suffolk","13","1030",19734,19735,0,1016,886
"G3601070","1800","New York","360","Tioga","1070","Tioga","13","1070",6879,7109,0,33,17
"G3601110","1800","New York","360","Ulster","1110","Ulster","13","1110",24855,24855,0,336,2257
"G3601150","1800","New York","360","Washington","1150","Washington","13","1150",35574,35792,0,119,80
"G3601190","1800","New York","360","Westchester","1190","Westchester","13","1190",27428,27373,0,482,1259
"G3700070","1800","North Carolina","370","Anson","0070","Anson","47","70",8146,8146,0,131,1290
"G3700090","1800","North Carolina","370","Ashe","0090","Ashe","47","90",2783,2783,0,55,85
"G3700130","1800","North Carolina","370","Beaufort","0130","Beaufort","47","130",6242,6242,0,190,2044
"G3700150","1800","North Carolina","370","Bertie","0150","Bertie","47","150",11249,11249,0,203,5512
"G3700170","1800","North Carolina","370","Bladen","0170","Bladen","47","170",7028,7028,0,152,2299
"G3700190","1800","North Carolina","370","Brunswick","0190","Brunswick","47","190",4110,4110,0,163,1614
"G3700210","1800","North Carolina","370","Buncombe","0210","Buncombe","47","210",5812,5812,0,34,347
"G3700230","1800","North Carolina","370","Burke","0230","Burke","47","230",9929,9929,0,52,826
"G3700250","1800","North Carolina","370","Cabarrus","0250","Cabarrus","47","250",5094,5094,0,2,699
"G3700290","1800","North Carolina","370","Camden","0290","Camden","47","290",4191,4191,0,56,1170
"G3700310","1800","North Carolina","370","Carteret","0310","Carteret","47","310",4399,4399,0,108,918
"G3700330","1800","North Carolina","370","Caswell","0330","Caswell","47","330",8701,8701,0,26,2788
"G3700370","1800","North Carolina","370","Chatham","0370","Chatham","47","370",11861,11861,0,102,2809
"G3700410","1800","North Carolina","370","Chowan","0410","Chowan","47","410",5132,5132,0,67,2473
"G3700490","1800","North Carolina","370","Craven","0490","Craven","47","490",10245,10245,0,328,4161
"G3700510","1800","North Carolina","370","Cumberland","0510","Cumberland","47","510",9264,9264,0,119,2723
"G3700530","1800","North Carolina","370","Currituck","0530","Currituck","47","530",6928,6928,0,114,1530
"G3700610","1800","North Carolina","370","Duplin","0610","Duplin","47","610",6796,6796,0,55,1864
"G3700650","1800","North Carolina","370","Edgecombe","0650","Edgecombe","47","650",10421,10421,0,106,3905
"G3700690","1800","North Carolina","370","Franklin","0690","Franklin","47","690",8529,8529,0,0,3698
"G3700730","1800","North Carolina","370","Gates","0730","Gates","47","730",5881,5881,0,82,2688
"G3700770","1800","North Carolina","370","Granville","0770","Granville","47","770",14015,14015,0,299,6106
"G3700790","1800","North Carolina","370","Greene","0790","Greene","47","790",4218,4218,0,27,1496
"G3700810","1800","North Carolina","370","Guilford","0810","Guilford","47","810",9442,9442,0,40,905
"G3700830","1800","North Carolina","370","Halifax","0830","Halifax","47","830",13945,13945,0,635,7239
"G3700910","1800","North Carolina","370","Hertford","0910","Hertford","47","910",6701,6701,0,435,2864
"G3700950","1800","North Carolina","370","Hyde","0950","Hyde","47","950",4829,4829,0,46,1404
"G3700970","1800","North Carolina","370","Iredell","0970","Iredell","47","970",8856,8856,0,17,1508
"G3701010","1800","North Carolina","370","Johnston","1010","Johnston","47","1010",6301,6301,0,34,1763
"G3701030","1800","North Carolina","370","Jones","1030","Jones","47","1030",4339,4339,0,64,1949
"G3701070","1800","North Carolina","370","Lenoir","1070","Lenoir","47","1070",4005,4005,0,55,1526
"G3701090","1800","North Carolina","370","Lincoln","1090","Lincoln","47","1090",12660,12660,0,18,1523
"G3701170","1800","North Carolina","370","Martin","1170","Martin","47","1170",5629,5629,0,183,1786
"G3701190","1800","North Carolina","370","Mecklenburg","1190","Mecklenburg","47","1190",10439,10439,0,15,1988
"G3701230","1800","North Carolina","370","Montgomery","1230","Montgomery","47","1230",7677,7677,0,20,1373
"G3701250","1800","North Carolina","370","Moore","1250","Moore","47","1250",4767,4767,0,31,608
"G3701270","1800","North Carolina","370","Nash","1270","Nash","47","1270",6975,6975,0,143,2596
"G3701290","1800","North Carolina","370","New Hanover","1290","New Hanover","47","1290",7060,7060,0,94,4058
"G3701310","1800","North Carolina","370","Northampton","1310","Northampton","47","1310",12353,12353,0,539,6209
"G3701330","1800","North Carolina","370","Onslow","1330","Onslow","47","1330",5623,5623,0,0,1814
"G3701350","1800","North Carolina","370","Orange","1350","Orange","47","1350",16362,16362,0,116,3565
"G3701390","1800","North Carolina","370","Pasquotank","1390","Pasquotank","47","1390",5379,5379,0,234,1755
"G3701430","1800","North Carolina","370","Perquimans","1430","Perquimans","47","1430",5708,5708,0,61,2020
"G3701450","1800","North Carolina","370","Person","1450","Person","47","1450",6402,6402,0,123,2082
"G3701470","1800","North Carolina","370","Pitt","1470","Pitt","47","1470",9084,9084,0,32,2885
"G3701510","1800","North Carolina","370","Randolph","1510","Randolph","47","1510",9234,9234,0,202,607
"G3701530","1800","North Carolina","370","Richmond","1530","Richmond","47","1530",5623,5623,0,25,875
"G3701550","1800","North Carolina","370","Robeson","1550","Robeson","47","1550",6839,6839,0,341,998
"G3701570","1800","North Carolina","370","Rockingham","1570","Rockingham","47","1570",8277,8277,0,116,1633
"G3701590","1800","North Carolina","370","Rowan","1590","Rowan","47","1590",20060,20060,0,35,2839
"G3701610","1800","North Carolina","370","Rutherford","1610","Rutherford","47","1610",10753,10753,0,13,1072
"G3701630","1800","North Carolina","370","Sampson","1630","Sampson","47","1630",6719,6719,0,137,1712
"G3701690","1800","North Carolina","370","Stokes","1690","Stokes","47","1690",11026,11026,0,63,1439
"G3701710","1800","North Carolina","370","Surry","1710","Surry","47","1710",9505,9505,0,21,1005
"G3701770","1800","North Carolina","370","Tyrrell","1770","Tyrrell","47","1770",3395,3395,0,13,859
"G3701830","1800","North Carolina","370","Wake","1830","Wake","47","1830",13437,13437,0,324,4241
"G3701850","1800","North Carolina","370","Warren","1850","Warren","47","1850",11284,11284,0,136,6012
"G3701870","1800","North Carolina","370","Washington","1870","Washington","47","1870",2422,2422,0,63,761
"G3701910","1800","North Carolina","370","Wayne","1910","Wayne","47","1910",6772,6772,0,84,1988
"G3701930","1800","North Carolina","370","Wilkes","1930","Wilkes","47","1930",7247,7247,0,64,790
"G3850015","1800","Northwest Territory","385","Adams","0015","Adams","24","10",3432,3432,0,15,0
"G3850035","1800","Northwest Territory","385","Hamilton","0035","Hamilton","24","610",14692,14692,0,0,0
"G3850055","1800","Northwest Territory","385","Jefferson","0055","Jefferson","24","810",8766,8766,0,35,0
"G3850115","1800","Northwest Territory","385","Ross","0115","Ross","24","1410",8540,8540,0,125,0
"G3850175","1800","Northwest Territory","385","Trumbull","0175","Trumbull","24","1550",1302,1302,0,5,0
"G3850195","1800","Northwest Territory","385","Washington","0195","Washington","24","1670",5427,5427,0,18,0
"G3850225","1800","Northwest Territory","385","Wayne","0225","Wayne","24","1690",3206,3206,0,139,0
"G4200010","1800","Pennsylvania","420","Adams","0010","Adams","14","10",13172,13172,0,189,114
"G4200030","1800","Pennsylvania","420","Allegheny","0030","Allegheny","14","30",15087,15087,0,256,79
"G4200050","1800","Pennsylvania","420","Armstrong","0050","Armstrong","14","50",2399,2399,0,0,1
"G4200070","1800","Pennsylvania","420","Beaver","0070","Beaver","14","70",5776,5776,0,35,4
"G4200090","1800","Pennsylvania","420","Bedford","0090","Bedford","14","90",12039,12039,0,24,5
"G4200110","1800","Pennsylvania","420","Berks","0110","Berks","14","110",32407,32407,0,165,19
"G4200170","1800","Pennsylvania","420","Bucks","0170","Bucks","14","170",27496,27496,0,610,59
"G4200190","1800","Pennsylvania","420","Butler","0190","Butler","14","190",3916,3916,0,2,1
"G4200290","1800","Pennsylvania","420","Chester","0290","Chester","14","290",32093,32093,0,1145,46
"G4200390","1800","Pennsylvania","420","Crawford","0390","Crawford","14","390",2346,2346,0,5,5
"G4200410","1800","Pennsylvania","420","Cumberland","0410","Cumberland","14","410",25386,25386,0,329,228
"G4200430","1800","Pennsylvania","420","Dauphin","0430","Dauphin","14","430",22270,22270,0,166,93
"G4200450","1800","Pennsylvania","420","Delaware","0450","Delaware","14","450",12809,12809,0,645,7
"G4200490","1800","Pennsylvania","420","Erie","0490","Erie","14","490",1468,1468,0,17,2
"G4200510","1800","Pennsylvania","420","Fayette","0510","Fayette","14","510",20159,20159,0,327,92
"G4200550","1800","Pennsylvania","420","Franklin","0550","Franklin","14","550",19638,19638,0,664,181
"G4200590","1800","Pennsylvania","420","Greene","0590","Greene","14","590",8605,8605,0,58,22
"G4200610","1800","Pennsylvania","420","Huntingdon","0610","Huntingdon","14","610",13008,13008,0,100,32
"G4200710","1800","Pennsylvania","420","Lancaster","0710","Lancaster","14","710",43403,43403,4292,786,178
"G4200790","1800","Pennsylvania","420","Luzerne","0790","Luzerne","14","790",12839,12839,0,78,18
"G4200810","1800","Pennsylvania","420","Lycoming","0810","Lycoming","14","810",5414,5414,0,263,39
"G4200850","1800","Pennsylvania","420","Mercer","0850","Mercer","14","850",3228,3228,0,8,5
"G4200870","1800","Pennsylvania","420","Mifflin","0870","Mifflin","14","8010",13609,13609,0,126,23
"G4200910","1800","Pennsylvania","420","Montgomery","0910","Montgomery","14","910",24150,24150,0,527,33
"G4200950","1800","Pennsylvania","420","Northampton","0950","Northampton","14","950",30062,30062,0,241,8
"G4200970","1800","Pennsylvania","420","Northumberland","0970","Northumberland","14","970",27797,27797,0,135,29
"G4201010","1800","Pennsylvania","420","Philadelphia","1010","Philadelphia","14","1010",81009,81009,61559,6795,85
"G4201110","1800","Pennsylvania","420","Somerset","1110","Somerset","14","1110",10188,10188,0,26,0
"G4201210","1800","Pennsylvania","420","Venango","1210","Venango","14","1210",1130,1130,0,6,0
"G4201230","1800","Pennsylvania","420","Warren","1230","Warren","14","1230",233,233,0,0,0
"G4201250","1800","Pennsylvania","420","Washington","1250","Washington","14","1250",28298,28298,0,340,84
"G4201270","1800","Pennsylvania","420","Wayne","1270","Wayne","14","1270",2562,2562,0,54,1
"G4201290","1800","Pennsylvania","420","Westmoreland","1290","Westmoreland","14","1290",22726,22726,0,91,136
"G4201330","1800","Pennsylvania","420","York","1330","York","14","1330",25643,25643,2503,352,77
"G4400010","1800","Rhode Island","440","Bristol","0010","Bristol","5","10",3801,3801,0,145,46
"G4400030","1800","Rhode Island","440","Kent","0030","Kent","5","30",8487,8487,0,407,20
"G4400050","1800","Rhode Island","440","Newport","0050","Newport","5","50",14845,14845,6739,892,185
"G4400070","1800","Rhode Island","440","Providence","0070","Providence","5","70",25854,25854,7614,971,6
"G4400090","1800","Rhode Island","440","Washington","0090","Washington","5","90",16135,16135,0,889,124
"G4500010","1800","South Carolina","450","Abbeville","0010","Abbeville","48","10",13553,13553,0,41,2964
"G4500110","1800","South Carolina","450","Barnwell","0110","Barnwell","48","110",7376,7376,0,111,1690
"G4500130","1800","South Carolina","450","Beaufort","0130","Beaufort","48","130",20428,20428,0,198,16031
"G4500190","1800","South Carolina","450","Charleston","0190","Charleston","48","190",57480,57480,18824,1161,41945
"G4500230","1800","South Carolina","450","Chester","0230","Chester","48","230",8185,8185,0,2,1164
"G4500250","1800","South Carolina","450","Chesterfield","0250","Chesterfield","48","250",5216,5216,0,73,1148
"G4500290","1800","South Carolina","450","Colleton","0290","Colleton","48","290",24903,24903,0,38,20471
"G4500310","1800","South Carolina","450","Darlington","0310","Darlington","48","310",7631,7631,0,32,2336
"G4500370","1800","South Carolina","450","Edgefield","0370","Edgefield","48","370",18130,18130,0,61,5006
"G4500390","1800","South Carolina","450","Fairfield","0390","Fairfield","48","390",10087,10087,0,23,1968
"G4500430","1800","South Carolina","450","Georgetown","0430","Georgetown","48","430",22938,22938,0,95,16568
"G4500450","1800","South Carolina","450","Greenville","0450","Greenville","48","450",11504,11504,0,36,1439
"G4500550","1800","South Carolina","450","Kershaw","0550","Kershaw","48","550",7340,7340,0,104,2530
