GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ABN001,ABU001,ABO001,ABO002,ABO003,ABO004,ABO005,ABO006
"G1301370","1830","Georgia","130","Habersham","1370","Habersham","44","1370",10671,0,5032,4725,466,443,5,0
"G1301390","1830","Georgia","130","Hall","1390","Hall","44","1390",11748,0,5297,5266,600,581,3,1
"G1301410","1830","Georgia","130","Hancock","1410","Hancock","44","1410",11820,0,2319,2284,3710,3470,16,21
"G1301450","1830","Georgia","130","Harris","1450","Harris","44","1450",5105,0,1519,1312,1184,1085,4,1
"G1301510","1830","Georgia","130","Henry","1510","Henry","44","1510",10566,0,4091,3898,1213,1358,3,3
"G1301530","1830","Georgia","130","Houston","1530","Houston","44","1530",7369,0,2666,2495,1069,1125,10,4
"G1301550","1830","Georgia","130","Irwin","1550","Irwin","44","1550",1180,0,551,515,51,58,5,0
"G1301570","1830","Georgia","130","Jackson","1570","Jackson","44","1570",9004,0,3133,3047,1387,1396,25,16
"G1301590","1830","Georgia","130","Jasper","1590","Jasper","44","1590",13131,0,3509,3258,3195,3127,24,18
"G1301630","1830","Georgia","130","Jefferson","1630","Jefferson","44","1630",7309,0,1827,1776,1801,1846,34,25
"G1301690","1830","Georgia","130","Jones","1690","Jones","44","1690",13345,0,3364,3107,3460,3369,23,22
"G1301750","1830","Georgia","130","Laurens","1750","Laurens","44","1750",5589,0,1645,1555,1162,1213,7,7
"G1301770","1830","Georgia","130","Lee","1770","Lee","44","1770",1680,0,715,654,171,140,0,0
"G1301790","1830","Georgia","130","Liberty","1790","Liberty","44","1790",7233,0,783,805,2789,2835,8,13
"G1301810","1830","Georgia","130","Lincoln","1810","Lincoln","44","1810",6145,0,1472,1352,1614,1662,21,24
"G1301850","1830","Georgia","130","Lowndes","1850","Lowndes","44","1850",2453,0,1070,1043,156,179,2,3
"G1301910","1830","Georgia","130","McIntosh","1910","Mcintosh","44","1910",4998,0,557,538,1924,1870,53,56
"G1301950","1830","Georgia","130","Madison","1950","Madison","44","1950",4646,0,1685,1700,592,667,2,0
"G1301970","1830","Georgia","130","Marion","1970","Marion","44","1970",1436,0,684,643,58,51,0,0
"G1301990","1830","Georgia","130","Meriwether","1990","Meriwether","44","1990",4422,0,1610,1408,723,671,7,3
"G1302070","1830","Georgia","130","Monroe","2070","Monroe","44","2070",16202,0,4586,4252,3613,3740,6,5
"G1302090","1830","Georgia","130","Montgomery","2090","Montgomery","44","2090",1269,0,474,460,168,167,0,0
"G1302110","1830","Georgia","130","Morgan","2110","Morgan","44","2110",12046,0,2784,2427,3503,3317,11,4
"G1302150","1830","Georgia","130","Muscogee","2150","Muscogee","44","2150",3508,0,1275,985,670,570,7,1
"G1302170","1830","Georgia","130","Newton","2170","Newton","44","2170",11155,0,4185,3943,1470,1533,8,16
"G1302210","1830","Georgia","130","Oglethorpe","2210","Oglethorpe","44","2210",13618,0,2948,2711,3998,3942,16,3
"G1302310","1830","Georgia","130","Pike","2310","Pike","44","2310",6149,0,2236,2120,829,944,9,11
"G1302350","1830","Georgia","130","Pulaski","2350","Pulaski","44","2350",4906,0,1607,1516,912,853,11,7
"G1302370","1830","Georgia","130","Putnam","2370","Putnam","44","2370",13261,0,2827,2686,3894,3813,25,16
"G1302410","1830","Georgia","130","Rabun","2410","Rabun","44","2410",2176,0,1081,1034,26,33,2,0
"G1302430","1830","Georgia","130","Randolph","2430","Randolph","44","2430",2191,0,807,701,354,328,1,0
"G1302450","1830","Georgia","130","Richmond","2450","Richmond","44","2450",11644,6710,2738,2425,3105,3141,123,112
"G1302510","1830","Georgia","130","Screven","2510","Screven","44","2510",4776,0,1212,1175,1185,1181,10,13
"G1302630","1830","Georgia","130","Talbot","2630","Talbot","44","2630",5940,0,2011,1828,1050,1049,2,0
"G1302650","1830","Georgia","130","Taliaferro","2650","Taliaferro","44","2650",4934,0,1138,1024,1352,1383,18,19
"G1302670","1830","Georgia","130","Tattnall","2670","Tattnall","44","2670",2040,0,768,752,249,257,9,5
"G1302710","1830","Georgia","130","Telfair","2710","Telfair","44","2710",2136,0,808,761,289,276,1,1
"G1302750","1830","Georgia","130","Thomas","2750","Thomas","44","2750",3299,0,1126,1001,580,588,4,0
"G1302850","1830","Georgia","130","Troup","2850","Troup","44","2850",5799,0,1909,1698,1053,1135,4,0
"G1302890","1830","Georgia","130","Twiggs","2890","Twiggs","44","2890",8031,0,2310,2185,1773,1734,17,12
"G1302930","1830","Georgia","130","Upson","2930","Upson","44","2930",7013,0,2263,2181,1310,1247,9,3
"G1302970","1830","Georgia","130","Walton","2970","Walton","44","2970",10929,0,3967,3795,1493,1670,2,2
"G1302990","1830","Georgia","130","Ware","2990","Ware","44","2990",1205,0,593,548,29,32,3,0
"G1303010","1830","Georgia","130","Warren","3010","Warren","44","3010",10946,0,3085,3067,2403,2290,37,64
"G1303030","1830","Georgia","130","Washington","3030","Washington","44","3030",9820,0,3015,2880,1959,1950,6,10
"G1303050","1830","Georgia","130","Wayne","3050","Wayne","44","3050",963,0,339,337,124,152,5,6
"G1303170","1830","Georgia","130","Wilkes","3170","Wilkes","44","3170",14237,0,2670,2595,4512,4448,2,10
"G1303190","1830","Georgia","130","Wilkinson","3190","Wilkinson","44","3190",6513,0,2337,2251,1018,904,3,0
"G1700010","1830","Illinois","170","Adams","0010","Adams","21","10",2186,0,1192,989,0,0,5,0
"G1700030","1830","Illinois","170","Alexander","0030","Alexander","21","30",1390,0,724,654,2,4,2,4
"G1700050","1830","Illinois","170","Bond","0050","Bond","21","50",3124,0,1626,1496,1,0,1,0
"G1700130","1830","Illinois","170","Calhoun","0130","Calhoun","21","130",1090,0,679,411,0,0,0,0
"G1700230","1830","Illinois","170","Clark","0230","Clark","21","230",3940,0,2073,1848,0,0,8,11
"G1700250","1830","Illinois","170","Clay","0250","Clay","21","250",755,0,388,365,1,1,0,0
"G1700270","1830","Illinois","170","Clinton","0270","Clinton","21","270",2330,0,1215,1028,1,4,44,38
"G1700330","1830","Illinois","170","Crawford","0330","Crawford","21","330",3117,0,1602,1501,0,0,6,8
